,SRC_obs,SubId,DrainArea,DA_error,Obs_NM,Use_region,DA_Obs,Region,Sub_Reg,DI,CheckArea,AreaError
0,US,1000230,3004643525790.0,1.02663188088,07374525,1,2926700.0,0001,00067,6.435832311014588,3004643525786.513,1.1604759021565541e-12
1,US,1000436,3003657874040.0,1.03011398873,07374000,1,2915850.0,0001,00067,6.442138855978218,3003657874037.173,9.41235172598872e-13
2,US,1003183,25745564.4896,0.72557462699,07373900,0,35.483,0001,00067,0.0,25745564.48957,1.165240046907198e-12
3,US,1000456,3002462419450.0,1.03017036004,07373420,1,2914530.0,0001,00067,6.449723997022423,3002462419452.382,7.932941715008416e-13
4,US,1001994,92502619.0693,1.01176478578,07373500,0,91.427,0001,00067,0.0,92502619.0693,0.0
5,US,1000496,3001405033510.0,1.03017516227,07295100,1,2913490.0,0001,00067,6.456368179841577,3001405033512.793,9.305537635930984e-13
6,US,1001499,467620860.717,1.00304774929,07295000,0,466.2,0001,00067,0.0,467620860.717089,1.9030317533997698e-13
7,US,1001226,2032978356.19,0.99737449588,07292500,0,2038.33,0001,00067,0.0,2032978356.186285,1.8273870394384774e-12
8,US,1000398,2969736755.45,1.02376473919,07294500,0,2900.8,0001,00067,0.0,2969736755.451528,5.146123100764331e-13
9,US,1002158,1071511109.98,1.03686930645,07291500,0,1033.41,0001,00067,0.0,1071511109.981368,1.2766331444017856e-12
10,US,1001687,465894559.572,0.99382358748,07291000,0,468.79,0001,00067,0.0,465894559.57235986,7.723490929784597e-13
11,US,1000524,2996429853230.0,1.01005863744,07290880,1,2966590.0,0001,00067,6.487233539526546,2996429853231.471,4.909814273356441e-13
12,US,1003391,675268331.099,1.01448001307,07290870,0,665.63,0001,00067,0.0,675268331.0989002,1.4776078006148284e-13
13,US,1000837,195964550.97,0.97754507482,07290690,0,200.466,0001,00067,0.0,195964550.96968,1.6328847941772444e-12
14,US,1000868,973675728.334,1.01330613112,07290500,0,960.89,0001,00067,0.0,973675728.334259,2.6604523318772565e-13
15,US,1000167,1689747767.99,0.99757227161,07290650,0,1693.86,0001,00067,0.0,1689747767.9876091,1.414922130108485e-12
16,US,1003268,2982542726450.0,1.00616772026,07289000,1,2964260.0,0001,00067,6.572451826360333,2982542726449.962,1.2769620083643245e-14
17,US,1001082,7235885285.42,0.9935199511,07290000,0,7283.08,0001,00067,0.0,7235885285.421756,2.4263989093934307e-13
18,US,1000957,6030834270.72,0.99508864976,07289730,0,6060.6,0001,00067,0.0,6030834270.726077,1.0076238993407352e-12
19,US,1002505,3824832838.19,0.98912889189,07289500,0,3866.87,0001,00067,0.0,3824832838.187801,5.749723103385382e-13
20,US,1002380,3430488262.77,0.98991991238,07289460,0,3465.42,0001,00067,0.0,3430488262.7664547,1.0334634604980518e-12
21,US,1000193,7237568497.45,1.08366949815,07288700,0,6678.76,0001,00067,0.0,7237568497.453036,4.195468442899497e-13
22,US,1001006,162197779.957,1.00844807514,07287404,0,160.839,0001,00067,0.0,162197779.95694,3.698698896022811e-13
23,US,1002175,230106809.988,1.00844867402,07287400,0,228.179,0001,00067,0.0,230106809.98854,2.346685347429794e-12
24,US,1000589,466010104.53,1.01082405217,07287405,0,461.02,0001,00067,0.0,466010104.53039306,8.435281305545068e-13
25,US,1002067,272974902.772,0.98500668557,07287355,0,277.13,0001,00067,0.0,272974902.772061,2.2337420395073435e-13
26,US,1001663,2615347403.47,0.98323918429,07289350,0,2659.93,0001,00067,0.0,2615347403.474205,1.6079037502298675e-12
27,US,1000159,2946808525450.0,1.00982078558,07265455,1,2918150.0,0001,00067,6.7934468780348745,2946808525454.9473,1.678855474413464e-12
28,US,1002061,249525218.594,1.01199352144,07287150,0,246.568,0001,00067,0.0,249525218.59442005,1.6833325869783557e-12
29,US,1002075,284873943.952,1.14932016457,07287160,0,247.863,0001,00067,0.0,284873943.95151997,1.685151693276249e-12
